filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout
8,3,2,200.0,0.4,700.0,0.1
8,3,2,200.0,0.4,700.0,0.2
8,3,2,200.0,0.6,700.0,0.1
8,3,2,200.0,0.6,700.0,0.2
8,3,4,200.0,0.4,700.0,0.1
8,3,4,200.0,0.4,700.0,0.2
8,3,4,200.0,0.6,700.0,0.1
8,3,4,200.0,0.6,700.0,0.2
8,3,7,200.0,0.4,700.0,0.1
8,3,7,200.0,0.4,700.0,0.2
8,3,7,200.0,0.6,700.0,0.1
8,3,7,200.0,0.6,700.0,0.2
10,3,2,200.0,0.4,700.0,0.1
10,3,2,200.0,0.4,700.0,0.2
10,3,2,200.0,0.6,700.0,0.1
10,3,2,200.0,0.6,700.0,0.2
10,3,4,200.0,0.4,700.0,0.1
10,3,4,200.0,0.4,700.0,0.2
10,3,4,200.0,0.6,700.0,0.1
10,3,4,200.0,0.6,700.0,0.2
10,3,7,200.0,0.4,700.0,0.1
10,3,7,200.0,0.4,700.0,0.2
10,3,7,200.0,0.6,700.0,0.1
10,3,7,200.0,0.6,700.0,0.2
12,3,2,200.0,0.4,700.0,0.1
12,3,2,200.0,0.4,700.0,0.2
12,3,2,200.0,0.6,700.0,0.1
12,3,2,200.0,0.6,700.0,0.2
12,3,4,200.0,0.4,700.0,0.1
12,3,4,200.0,0.4,700.0,0.2
12,3,4,200.0,0.6,700.0,0.1
12,3,4,200.0,0.6,700.0,0.2
12,3,7,200.0,0.4,700.0,0.1
12,3,7,200.0,0.4,700.0,0.2
12,3,7,200.0,0.6,700.0,0.1
12,3,7,200.0,0.6,700.0,0.2
