filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_dropout,recurrent_l2,output_droput
10,3,600.0,0.1,20,0.3,0.0,0.0,0.0,0.1
10,3,600.0,0.1,20,0.3,0.0,0.3,0.0,0.1
10,3,600.0,0.1,20,0.3,50.0,0.0,0.0,0.1
10,3,600.0,0.1,20,0.3,50.0,0.3,0.0,0.1
10,3,600.0,0.1,20,0.3,500.0,0.0,0.0,0.1
10,3,600.0,0.1,20,0.3,500.0,0.3,0.0,0.1
10,3,600.0,0.1,50,0.3,0.0,0.0,0.0,0.1
10,3,600.0,0.1,50,0.3,0.0,0.3,0.0,0.1
10,3,600.0,0.1,50,0.3,50.0,0.0,0.0,0.1
10,3,600.0,0.1,50,0.3,50.0,0.3,0.0,0.1
10,3,600.0,0.1,50,0.3,500.0,0.0,0.0,0.1
10,3,600.0,0.1,50,0.3,500.0,0.3,0.0,0.1
10,3,600.0,0.1,80,0.3,0.0,0.0,0.0,0.1
10,3,600.0,0.1,80,0.3,0.0,0.3,0.0,0.1
10,3,600.0,0.1,80,0.3,50.0,0.0,0.0,0.1
10,3,600.0,0.1,80,0.3,50.0,0.3,0.0,0.1
10,3,600.0,0.1,80,0.3,500.0,0.0,0.0,0.1
10,3,600.0,0.1,80,0.3,500.0,0.3,0.0,0.1
