hidden_units,hidden_l2,output_l2,hidden_dropout,loss
20,10.0,10.0,0.0,0.0
20,10.0,10.0,0.0,0.1
20,10.0,10.0,0.0,0.5
20,10.0,10.0,0.0,1.0
20,10.0,10.0,0.0,2.0
20,10.0,10.0,0.0,5.0
20,10.0,10.0,0.2,0.0
20,10.0,10.0,0.2,0.1
20,10.0,10.0,0.2,0.5
20,10.0,10.0,0.2,1.0
20,10.0,10.0,0.2,2.0
20,10.0,10.0,0.2,5.0
40,10.0,10.0,0.0,0.0
40,10.0,10.0,0.0,0.1
40,10.0,10.0,0.0,0.5
40,10.0,10.0,0.0,1.0
40,10.0,10.0,0.0,2.0
40,10.0,10.0,0.0,5.0
40,10.0,10.0,0.2,0.0
40,10.0,10.0,0.2,0.1
40,10.0,10.0,0.2,0.5
40,10.0,10.0,0.2,1.0
40,10.0,10.0,0.2,2.0
40,10.0,10.0,0.2,5.0
80,10.0,10.0,0.0,0.0
80,10.0,10.0,0.0,0.1
80,10.0,10.0,0.0,0.5
80,10.0,10.0,0.0,1.0
80,10.0,10.0,0.0,2.0
80,10.0,10.0,0.0,5.0
80,10.0,10.0,0.2,0.0
80,10.0,10.0,0.2,0.1
80,10.0,10.0,0.2,0.5
80,10.0,10.0,0.2,1.0
80,10.0,10.0,0.2,2.0
80,10.0,10.0,0.2,5.0
120,10.0,10.0,0.0,0.0
120,10.0,10.0,0.0,0.1
120,10.0,10.0,0.0,0.5
120,10.0,10.0,0.0,1.0
120,10.0,10.0,0.0,2.0
120,10.0,10.0,0.0,5.0
120,10.0,10.0,0.2,0.0
120,10.0,10.0,0.2,0.1
120,10.0,10.0,0.2,0.5
120,10.0,10.0,0.2,1.0
120,10.0,10.0,0.2,2.0
120,10.0,10.0,0.2,5.0
