filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
8,3,7,200,0.4,700,0.2,1000.645466
8,3,7,200,0.4,700,0.1,1000.64628
8,3,7,200,0.6,700,0.2,1000.652965
8,3,7,200,0.6,700,0.1,1000.654108
12,3,7,200,0.4,700,0.1,1000.657545
12,3,7,200,0.4,700,0.2,1000.66033
10,3,7,200,0.4,700,0.2,1000.661321
10,3,7,200,0.4,700,0.1,1000.661465
12,3,7,200,0.6,700,0.1,1000.661567
12,3,7,200,0.6,700,0.2,1000.665322
10,3,7,200,0.6,700,0.2,1000.665686
10,3,7,200,0.6,700,0.1,1000.666684
8,3,4,200,0.4,700,0.1,1000.702509
8,3,4,200,0.4,700,0.2,1000.705493
10,3,4,200,0.4,700,0.2,1000.71293
12,3,4,200,0.4,700,0.1,1000.712963
12,3,4,200,0.4,700,0.2,1000.713165
10,3,4,200,0.4,700,0.1,1000.714978
12,3,4,200,0.6,700,0.1,1000.716759
12,3,4,200,0.6,700,0.2,1000.718279
10,3,4,200,0.6,700,0.2,1000.71868
8,3,4,200,0.6,700,0.1,1000.7204
10,3,4,200,0.6,700,0.1,1000.720458
8,3,4,200,0.6,700,0.2,1000.722264
12,3,2,200,0.4,700,0.2,1000.753004
12,3,2,200,0.4,700,0.1,1000.75453
12,3,2,200,0.6,700,0.2,1000.755443
8,3,2,200,0.4,700,0.1,1000.755753
12,3,2,200,0.6,700,0.1,1000.756719
8,3,2,200,0.4,700,0.2,1000.756921
8,3,2,200,0.6,700,0.1,1000.759974
8,3,2,200,0.6,700,0.2,1000.760154
10,3,2,200,0.4,700,0.2,1000.766338
10,3,2,200,0.4,700,0.1,1000.766981
10,3,2,200,0.6,700,0.1,1000.767006
10,3,2,200,0.6,700,0.2,1000.767042
