filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_dropout,recurrent_l2,output_droput,mse_0
10,3,300,0.1,50,0.3,0,0,600,0.1,1078.384884
10,3,300,0.1,50,0.3,0,0,100,0.1,1078.507837
10,3,300,0.1,60,0.3,0,0,600,0.1,1079.754296
10,3,300,0.1,50,0.3,0,0.1,600,0.1,1080.662731
30,3,300,0.1,20,0.3,0,0,100,0.1,1080.806391
10,3,300,0.1,60,0.3,0,0,100,0.1,1080.900937
30,3,300,0.1,20,0.3,0,0,600,0.1,1081.026504
10,3,300,0.1,50,0.3,0,0.1,100,0.1,1081.426946
10,3,300,0.1,20,0.3,0,0,600,0.1,1082.313346
10,3,300,0.1,20,0.3,0,0,100,0.1,1082.545103
30,3,300,0.1,20,0.3,0,0.1,600,0.1,1085.507535
30,3,300,0.1,20,0.3,0,0.1,100,0.1,1086.171601
10,3,300,0.1,20,0.3,0,0.1,600,0.1,1087.132853
50,3,300,0.1,20,0.3,0,0,100,0.1,1088.768566
10,3,300,0.1,20,0.3,0,0.1,100,0.1,1088.950676
30,3,300,0.1,50,0.3,0,0,100,0.1,1089.118526
50,3,300,0.1,20,0.3,0,0,600,0.1,1089.16686
50,3,300,0.1,20,0.3,0,0.1,100,0.1,1089.742518
10,3,300,0.1,60,0.3,0,0.1,600,0.1,1090.151667
30,3,300,0.1,50,0.3,0,0.1,600,0.1,1090.238868
30,3,300,0.1,50,0.3,0,0,600,0.1,1090.73162
10,3,300,0.1,60,0.3,0,0.1,100,0.1,1090.976083
50,3,300,0.1,20,0.3,0,0.1,600,0.1,1091.076071
30,3,300,0.1,50,0.3,0,0.1,100,0.1,1091.081778
50,3,300,0.1,50,0.3,0,0.1,100,0.1,1091.737735
50,3,300,0.1,50,0.3,0,0.1,600,0.1,1092.203459
50,3,300,0.1,60,0.3,0,0.1,600,0.1,1093.031307
50,3,300,0.1,60,0.3,0,0.1,100,0.1,1095.727876
30,3,300,0.1,60,0.3,0,0,100,0.1,1097.175586
50,3,300,0.1,50,0.3,0,0,600,0.1,1097.795642
30,3,300,0.1,60,0.3,0,0,600,0.1,1097.952749
50,3,300,0.1,50,0.3,0,0,100,0.1,1098.778726
30,3,300,0.1,60,0.3,0,0.1,600,0.1,1099.155225
30,3,300,0.1,60,0.3,0,0.1,100,0.1,1099.744702
50,3,300,0.1,60,0.3,0,0,100,0.1,1101.156426
50,3,300,0.1,60,0.3,0,0,600,0.1,1101.451222
