lstm_units,kernel_dropout,recurrent_dropout,recurrent_l2,mse_0
20,0.4,0.3,0,1077.674612
15,0.4,0.1,0,1077.866341
20,0.4,0.1,0,1079.340724
20,0.4,0.1,10,1080.752461
20,0.4,0.3,10,1080.764891
15,0.4,0.3,0,1081.014272
15,0.4,0.1,10,1081.254765
15,0.4,0.3,10,1081.394036
15,0.1,0.3,10,1082.879645
15,0.1,0.1,10,1083.065483
10,0.4,0.1,0,1083.247552
10,0.4,0.3,0,1083.311098
10,0.4,0.1,10,1084.657665
10,0.4,0.3,10,1084.687193
20,0.1,0.1,10,1084.794835
10,0.1,0.3,10,1085.628002
10,0.1,0.1,10,1085.660515
20,0.1,0.3,10,1085.941596
20,0.1,0.3,0,1086.024334
20,0.1,0.1,0,1088.266896
10,0.1,0.3,0,1088.608504
10,0.1,0.1,0,1088.887451
15,0.1,0.3,0,1091.83575
15,0.1,0.1,0,1094.976375
